city,region,year,month,temp,temp_max,temp_min,precip,wind,radiation
Porto Alegre,Sul,1981,7,14.203225806451613,18.712903225806453,10.380645161290323,73.7,15.019354838709678,8.698387096774193
Porto Alegre,Sul,1981,8,16.2,21.783870967741933,11.525806451612903,66.5,15.148387096774194,13.206129032258064
Porto Alegre,Sul,1981,9,16.46,20.529999999999998,12.979999999999999,283.7,20.716666666666665,10.898666666666665
Porto Alegre,Sul,1981,10,17.77741935483871,22.39032258064516,13.596774193548388,54.3,18.30322580645161,18.746451612903225
Porto Alegre,Sul,1981,11,21.279999999999998,25.616666666666667,17.383333333333333,158.1,18.71333333333333,21.086333333333336
Porto Alegre,Sul,1981,12,22.083870967741937,26.97741935483871,17.496774193548386,132.7,18.258064516129032,24.086774193548386
Porto Alegre,Sul,1982,1,23.641935483870967,28.990322580645163,18.654838709677417,17.299999999999997,19.10967741935484,25.58709677419355
Porto Alegre,Sul,1982,2,24.285714285714285,28.560714285714287,20.84642857142857,146.9,16.639285714285712,18.447857142857142
Porto Alegre,Sul,1982,3,23.467741935483872,28.316129032258065,19.538709677419355,42.9,16.91290322580645,19.22290322580645
Porto Alegre,Sul,1982,4,20.863333333333333,25.933333333333334,16.470000000000002,22.2,16.04,15.022333333333334
Porto Alegre,Sul,1982,5,17.483870967741936,22.467741935483872,13.174193548387096,46.5,14.270967741935483,11.369354838709677
Porto Alegre,Sul,1982,6,15.386666666666667,19.293333333333333,12.083333333333334,142.9,14.333333333333334,7.065666666666667
Porto Alegre,Sul,1982,7,14.990322580645161,19.82903225806452,10.838709677419354,154.5,14.109677419354838,9.483225806451614
Porto Alegre,Sul,1982,8,16.3,21.02258064516129,12.287096774193548,163.2,15.316129032258065,11.144516129032258
Porto Alegre,Sul,1982,9,18.1,23.35,13.786666666666667,160.1,16.683333333333334,15.735999999999999
Porto Alegre,Sul,1982,10,18.46451612903226,23.44193548387097,13.719354838709679,156.1,18.635483870967743,20.86225806451613
Porto Alegre,Sul,1982,11,20.096666666666668,24.45,16.086666666666666,238.0,17.970000000000002,19.184
Porto Alegre,Sul,1982,12,22.677419354838708,27.616129032258065,18.261290322580646,101.4,16.687096774193545,24.078709677419358
Porto Alegre,Sul,1983,1,25.05806451612903,29.648387096774194,21.567741935483873,140.4,19.796774193548387,22.380967741935482
